created_date,complaint_type,borough,descriptor,latitude,longitude
2025-05-09 00:23:09,Noise - Commercial,QUEENS,Loud Music/Party,40.723391581837234,-73.86836875710235
2025-05-09 00:23:05,Illegal Parking,QUEENS,Blocked Crosswalk,40.6916009608998,-73.86536281029989
2025-05-09 00:23:02,Blocked Driveway,QUEENS,No Access,40.69159562316832,-73.86549263713876
2025-05-09 00:23:00,Illegal Parking,QUEENS,Posted Parking Sign Violation,40.69133948781046,-73.86710503037989
2025-05-09 00:22:58,Illegal Parking,QUEENS,Posted Parking Sign Violation,40.69145662742032,-73.86634032615899
2025-05-09 00:22:56,Illegal Parking,QUEENS,Blocked Hydrant,40.69145662742032,-73.86634032615899
2025-05-09 00:22:54,Illegal Parking,QUEENS,Posted Parking Sign Violation,40.694964939517874,-73.86676603506488
2025-05-09 00:22:23,Noise - Street/Sidewalk,MANHATTAN,Loud Music/Party,40.73270291197262,-74.0020169960858
2025-05-09 00:22:07,Non-Emergency Police Matter,MANHATTAN,Trespassing,40.818323892860526,-73.94151133572831
2025-05-09 00:22:03,Noise - Street/Sidewalk,MANHATTAN,Loud Music/Party,40.727503433558596,-73.98536980139953
2025-05-09 00:21:51,Noise - Street/Sidewalk,BRONX,Loud Music/Party,40.856781786769695,-73.8939372426174
2025-05-09 00:21:34,Noise - Street/Sidewalk,BRONX,Loud Music/Party,40.85896212835518,-73.8950833591879
2025-05-09 00:21:01,Noise - Residential,BRONX,Loud Music/Party,40.85568962898915,-73.86290508925421
2025-05-09 00:20:54,Noise - Street/Sidewalk,MANHATTAN,Loud Talking,40.85337995275147,-73.93743558205041
2025-05-09 00:20:51,Noise - Residential,BRONX,Banging/Pounding,40.836154554405596,-73.88735319413729
2025-05-09 00:20:44,Noise - Commercial,QUEENS,Loud Music/Party,40.723391581837234,-73.86836875710235
